Macomber ID,
4,4
7,7
9,9
10,10
13,13
14,14
16,16
19,19
23,23
25,25
27,27
30,30
31,31
33,33
36,36
38,38
40,40
41,41
43,43
45,45
46,46
47,47
48,48
52,52
53,53
54,54
55,55
56,56
57,57
59,59
61,61
68,68
77,77
79,79
82,82
83,83
88,88
98,98
99,99
100,100
101,101
103,103
106,106
107,107
112,112
113,113
114,114
121,121
125,125
126,126
134,134
137,137
138,138
139,139
140,140
141-A,141-A
142,142
144,144
144,144
145,145
146,146
147,147
148,148
150,150
152,152
152,152
153,153
154,154
155,155
156,156
158,158
159,159
160,160
161,161
162,162
163,163
163,163
166,166
167,167
168,168
169,169
171,171
172,172
173,173
174,174
175,175
176,176
177,177
178,178
180,180
181,181
181,181
182,182
183,183
184,184
185,185
187,187
188,188
189,189
190,190
191,191
192,192
193,193
195,195
197,197
198,198
200,200
202,202
204,204
207,207
236,236
283,283
284,284
287,287
288,288
289,289
311,311
314,314
319,319
320,320
328,328
353,353
364,364
365,365
378,378
383,383
384,384
391,391
393,393
394,394
395,395
396,396
402,402
403,403
404,404
405,405
406,406
409,409
410,410
411,411
412,412
414,414
420,420
1005,1005
1006,1006
1007,1007
1008,1008
1009,1009
1010,1010
1011,1011
1012,1012
1013,1013
1014,1014
1015,1015
1016,1016
1017,1017
1018,1018
1019,1019
1020,1020
1021,1021
1022,1022
1023,1023
1024,1024
1025,1025
1026,1026
1027,1027
1028,1028
1029,1029
1030,1030
1031,1031
1032,1032
1033,1033
1034,1034
1035,1035
1036,1036
1037,1037
1038,1038
1039,1039
1040,1040
1041,1041
1042,1042
1043,1043
1044,1044
1045,1045
1046,1046
1047,1047
1048,1048
1049,1049
66,66
69,69
70,70
74,74
80,80
81,81
89,89
90,90
97,97
111,111
132,132
165,165
170,170
170,170
179,179
201,201
205,205
209,209
280,280
313,313
318,318
327,327
401,401
438,438
439,439
24,24
35-B,35-B
35-F,35-F
108,#N/A
109,109
115,115
130,130
131,131
135,135
136,136
143,143
157,157
196,196
199,199
203,203
210,210
214,214
226,226
265,265
266,266
269,269
278,278
285,285
290,290
291,291
309,309
331,331
332,332
333,333
334,334
335,335
341,341
351,351
359,359
361,361
362,362
363,363
366,366
367,367
387,387
413,413
428,428
443,443
458,458
505,505
26,26
123,123
51,51
220,220
221,221
222,222
243,243
244,244
245,245
250,250
252,252
253,253
260,260
261,261
435,435
614,614
617,617
618,618
619,619
623,623
62,62
350,350
352,352
392,392
397,397
398,398
399,399
474,474
493,493
494-A,494-A
494-B,494-B
495-A,495-A
495-B,495-B
496-A,496-A
496-B,496-B
497,497
498,498
499-A,499-A
499-B,499-B
500,500
501,501
